10	300
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
8	1
8	2
8	3
8	4
11	1
11	2
11	3
11	4
11	5
11	6
11	7
11	8
11	9
11	10
11	11
11	12
11	13
11	14
13	1
13	2
13	3
20	1
20	2
20	3
20	4
20	5
20	6
20	7
20	8
20	9
20	10
22	1
22	2
32	1
32	2
32	3
32	4
32	5
32	6
32	7
32	8
32	9
32	10
32	11
32	12
32	13
33	1
33	2
40	1
40	2
40	3
40	4
40	5
40	6
40	7
49	1
49	2
49	3
49	4
49	5
49	6
49	7
60	1
60	2
60	3
60	4
67	1
67	2
67	3
67	4
72	1
72	2
72	3
72	4
72	5
72	6
72	7
85	1
85	2
85	3
85	4
85	5
85	6
94	1
94	2
94	3
94	4
94	5
94	6
94	7
98	1
98	2
98	3
98	4
98	5
98	6
100	1
100	2
100	3
100	4
100	5
100	6
100	7
100	8
100	9
100	10
100	11
100	12
100	13
100	14
100	15
100	16
119	1
119	2
119	3
119	4
119	5
119	6
121	1
121	2
121	3
121	4
130	1
130	2
130	3
130	4
130	5
130	6
130	7
130	8
135	1
135	2
135	3
135	4
135	5
135	6
135	7
135	8
135	9
135	10
135	11
135	12
143	1
143	2
143	3
143	4
143	5
143	6
143	7
143	8
143	9
143	10
146	1
146	2
146	3
146	4
146	5
146	6
146	7
146	8
146	9
146	10
146	11
146	12
146	13
146	14
146	15
146	16
146	17
146	18
146	19
146	20
146	21
149	1
149	2
152	1
152	2
152	3
152	4
152	5
152	6
152	7
159	1
159	2
159	3
159	4
159	5
159	6
159	7
159	8
159	9
159	10
159	11
159	12
166	1
166	2
166	3
166	4
166	5
172	1
172	2
172	3
172	4
173	1
173	2
173	3
173	4
173	5
173	6
176	1
176	2
176	3
176	4
179	1
179	2
179	3
179	4
179	5
179	6
179	7
179	8
181	1
181	2
181	3
181	4
181	5
191	1
191	2
191	3
191	4
191	5
191	6
191	7
191	8
191	9
191	10
195	1
195	2
195	3
195	4
198	1
198	2
198	3
198	4
198	5
198	6
198	7
198	8
198	9
198	10
198	11
198	12
198	13
198	14
198	15
199	1
199	2
199	3
199	4
199	5
208	1
208	2
208	3
208	4
210	1
210	2
210	3
210	4
210	5
210	6
211	1
211	2
211	3
211	4
211	5
211	6
219	1
219	2
219	3
219	4
219	5
219	6
219	7
219	8
219	9
219	10
219	11
219	12
219	13
219	14
219	15
219	16
224	1
224	2
224	3
224	4
224	5
224	6
224	7
224	8
224	9
225	1
225	2
225	3
225	4
238	1
238	2
238	3
238	4
238	5
238	6
238	7
238	8
238	9
238	10
238	11
243	1
243	2
243	3
243	4
243	5
243	6
243	7
243	8
243	9
243	10
243	11
243	12
243	13
243	14
243	15
243	16
243	17
243	18
243	19
243	20
243	21
243	22
243	23
244	1
244	2
244	3
244	4
244	5
245	1
245	2
245	3
245	4
245	5
245	6
245	7
245	8
245	9
245	10
245	11
245	12
245	13
254	1
254	2
254	3
261	1
261	2
261	3
261	4
261	5
261	6
261	7
261	8
261	9
261	10
261	11
261	12
275	1
275	2
275	3
275	4
275	5
278	1
278	2
278	3
279	1
279	2
279	3
279	4
279	5
281	1
281	2
281	3
281	4
281	5
289	1
289	2
289	3
289	4
289	5
289	6
289	7
289	8
289	9
294	1
294	2
294	3
294	4
294	5
294	6
294	7
294	8
294	9
294	10
294	11
294	12
294	13
294	14
294	15
294	16
294	17
299	1
299	2
299	3
299	4
299	5
305	1
305	2
305	3
305	4
305	5
305	6
305	7
305	8
305	9
305	10
305	11
305	12
305	13
305	14
309	1
309	2
309	3
309	4
309	5
309	6
309	7
309	8
311	1
311	2
311	3
312	1
312	2
312	3
313	1
313	2
313	3
313	4
313	5
313	6
313	7
313	8
322	1
322	2
326	1
326	2
326	3
331	1
331	2
331	3
331	4
333	1
333	2
333	3
333	4
333	5
333	6
333	7
333	8
337	1
337	2
337	3
337	4
337	5
337	6
337	7
342	1
342	2
342	3
354	1
354	2
354	3
354	4
360	1
360	2
360	3
360	4
360	5
361	1
361	2
361	3
361	4
361	5
361	6
361	7
361	8
361	9
370	1
370	2
370	3
370	4
370	5
370	6
370	7
371	1
371	2
371	3
371	4
371	5
371	6
371	7
371	8
371	9
371	10
371	11
371	12
371	13
371	14
371	15
371	16
372	1
372	2
372	3
